#{"t_start": 1682436581.038035, "env_id": null}
r,l,t
1461.0,14053,17.558295
1395.0,18355,145.069513
865.0,11000,188.407905
1376.0,13606,309.856949
1535.0,17594,760.695543
1214.0,17615,782.373063
1608.0,14730,800.545916
360.0,3693,881.14646
858.0,10756,894.530808
1247.0,10642,1816.667699
1080.0,6203,1824.80744
1397.0,11747,2770.240784
1331.0,13552,2787.241224
2309.0,22639,3795.338568
1417.0,14387,3813.901996
732.0,4186,3819.270735
1564.0,17444,4766.658896
1393.0,7860,5703.728281
799.0,7870,5713.789105
850.0,10941,5727.847831
542.0,11131,6694.684652
948.0,10135,6707.155776
1262.0,11185,6721.057639
335.0,4183,6726.504986
1124.0,11654,7698.382825
1889.0,18039,7720.914303
1224.0,8233,7731.183271
1086.0,10218,7770.896297
833.0,10149,8796.934737
2092.0,16452,8817.738062
2158.0,21679,8872.363207
1720.0,18288,8895.973114
496.0,3676,8900.501391
2368.0,21806,9912.995061
1065.0,7346,9921.936825
1678.0,17476,10985.179439
1890.0,14444,11003.779666
2317.0,23386,11960.209754
2073.0,17162,12941.414245
452.0,3522,12945.743961
1033.0,10027,12985.637658
1999.0,14438,13952.275207
922.0,9741,13964.529953
1542.0,16552,14954.783715
1101.0,10502,14968.378298
1904.0,16081,14988.840575
1963.0,20810,16079.621836
1506.0,13188,16277.425022
1575.0,14869,17309.934846
914.0,10503,17322.927541
324.0,2628,17326.385141
529.0,2486,17329.839475
2081.0,13458,18275.842508
793.0,9897,18288.107347
1548.0,12801,18303.920778
1211.0,8314,19274.964878
2171.0,17313,20279.454898
1370.0,9145,20291.272991
1417.0,7996,20301.764824
2096.0,22694,21255.633012
1187.0,9279,21267.291673
903.0,7604,21276.981217
1367.0,6010,22240.235107
1640.0,12702,22256.778063
769.0,4028,23172.798853
2308.0,11809,23187.67225
603.0,1204,23504.967323
603.0,1204,23506.041179
603.0,1204,23507.103574
603.0,1204,23508.178152
603.0,1204,23509.779613
603.0,1204,23510.90561
603.0,1204,23512.034772
603.0,1204,23513.164609
603.0,1204,23514.308595
603.0,1204,23515.445143
603.0,1204,23516.527542
603.0,1204,23517.659022
603.0,1204,23518.784905
603.0,1204,23519.926413
603.0,1204,23521.052615
603.0,1204,23522.177255
603.0,1204,23523.320287
603.0,1204,23524.452247
603.0,1204,23525.58614
603.0,1204,23526.730283
