#{"t_start": 1682425299.0659819, "env_id": null}
r,l,t
643.0,10681,16.07509
931.0,11390,31.615127
1290.0,17731,87.437137
1563.0,19065,109.528932
898.0,10374,121.426876
1827.0,14451,171.188151
1006.0,9412,184.835793
2114.0,25372,252.154598
1641.0,16757,272.278054
1613.0,18400,296.792693
893.0,10946,342.037692
1590.0,16501,363.692711
845.0,10323,376.936881
1978.0,22270,434.00527
973.0,8317,443.519278
1101.0,7941,452.914785
888.0,10271,493.127604
1634.0,17825,513.639941
995.0,9649,526.285894
1638.0,17804,581.181524
902.0,10417,594.213112
1007.0,10460,607.164494
1936.0,18916,658.982325
2353.0,18476,683.543328
1643.0,17560,732.15835
1900.0,20597,758.031817
1504.0,12716,799.184451
793.0,5564,805.899288
1416.0,18969,829.49171
1751.0,11628,869.907199
871.0,10478,883.080589
2094.0,17208,904.425914
1445.0,15352,949.527621
1850.0,12423,964.635899
440.0,4589,970.360661
2453.0,20245,1021.7003
1218.0,11785,1036.257352
1133.0,11960,1051.375125
393.0,3746,1056.040629
1641.0,17662,1103.809131
857.0,10225,1115.912708
1881.0,20368,1167.911163
1733.0,15965,1187.925416
333.0,4046,1193.12765
1094.0,10964,1206.838937
1031.0,8050,1243.390029
357.0,2593,1246.676058
1732.0,17493,1268.316176
2166.0,14952,1287.077302
1966.0,17904,1335.861132
1153.0,9730,1348.203603
2562.0,16304,1394.473655
1510.0,9776,1406.965502
2268.0,15025,1425.412942
1818.0,17756,1473.167861
803.0,5604,1480.160604
994.0,7816,1490.083319
1388.0,8926,1501.242391
293.0,2796,1504.718873
2339.0,16435,1551.028792
1377.0,11518,1565.342729
888.0,10270,1578.145312
601.0,1204,1611.623331
601.0,1204,1612.709325
601.0,1204,1614.320543
601.0,1204,1616.006112
601.0,1204,1617.104479
601.0,1204,1618.186944
601.0,1204,1619.277698
601.0,1204,1620.366945
601.0,1204,1621.453464
601.0,1204,1622.539292
601.0,1204,1623.619787
601.0,1204,1624.702486
601.0,1204,1625.787964
601.0,1204,1626.875675
601.0,1204,1627.957477
601.0,1204,1629.045581
601.0,1204,1630.132258
601.0,1204,1631.220889
601.0,1204,1632.308476
601.0,1204,1633.398573
