#{"t_start": 1682423742.050194, "env_id": null}
r,l,t
928.0,10899,15.539764
1553.0,17559,52.451784
1820.0,16785,85.899953
932.0,9894,109.389655
1737.0,17547,131.022587
2211.0,16030,160.162433
1963.0,19047,193.621437
439.0,1929,195.863624
1612.0,15999,233.995811
1923.0,9821,259.147146
2415.0,16541,290.948888
1026.0,9194,301.892399
447.0,2741,305.030438
2330.0,21001,349.984306
1000.0,6074,356.925271
2177.0,10567,378.964522
1745.0,15029,396.414447
3047.0,17929,429.265157
1089.0,10147,452.166363
905.0,4981,458.220958
1273.0,7103,479.309499
2474.0,10000,491.864517
1409.0,5443,498.58898
1651.0,9772,522.222329
1021.0,8551,536.195872
1656.0,7470,556.622167
1526.0,7525,565.732172
2297.0,13839,597.577502
3043.0,8650,608.910689
2906.0,17909,642.487195
400.0,1780,644.777527
474.0,1972,660.592039
1727.0,7824,669.924786
1872.0,6478,677.92399
900.0,3088,692.000018
1973.0,5396,698.544009
3034.0,7855,708.389062
1062.0,3635,712.843618
936.0,3508,729.020772
1483.0,7328,737.818378
1305.0,2745,740.932663
1841.0,5336,747.439144
1068.0,2929,763.464715
1469.0,3670,768.085184
1445.0,6462,776.167048
1344.0,4042,781.084793
1683.0,6105,800.27763
2211.0,7245,810.393034
485.0,2251,813.267988
1345.0,3052,817.338682
957.0,2514,832.058855
1109.0,4417,837.287035
2197.0,4968,843.393172
1697.0,3860,847.87154
1759.0,5458,864.984936
1875.0,6286,872.41873
1487.0,3910,877.490187
1303.0,4036,882.554745
1460.0,4063,898.40572
412.0,2164,901.29235
842.0,2653,904.592894
1684.0,4275,909.697376
2324.0,6140,916.758846
3316.0,11085,941.265891
1657.0,3913,946.151344
1012.0,4846,963.398028
1428.0,3540,967.497194
1586.0,5622,974.073512
498.0,1718,976.158854
530.0,1427,977.963342
943.0,4161,983.501586
1493.0,3705,998.96735
1457.0,2895,1002.708002
2798.0,6385,1010.477151
2272.0,6710,1018.584195
2150.0,5383,1036.261787
1461.0,4008,1040.868386
1647.0,5228,1047.255265
1791.0,5261,1066.292761
1527.0,3853,1071.332231
1893.0,5271,1078.046455
472.0,1678,1080.113538
1767.0,3990,1085.068373
1347.0,3171,1100.882951
1259.0,2283,1103.744204
1343.0,3222,1107.785178
510.0,1647,1109.858245
1820.0,5214,1116.614391
1673.0,4016,1121.878383
1897.0,4982,1138.827514
1553.0,3488,1142.905718
1419.0,3684,1147.726666
1350.0,2633,1151.149152
1145.0,2279,1154.097085
1768.0,5402,1173.0462
1087.0,2410,1175.826344
1154.0,1982,1178.253443
1883.0,4700,1185.305942
1724.0,5456,1191.766524
1450.0,3032,1207.995408
1360.0,2695,1211.13654
507.0,1678,1213.055863
1535.0,3264,1216.749441
388.0,1875,1218.895366
1583.0,4026,1223.463812
1379.0,2159,1226.008516
2491.0,5344,1242.828246
1910.0,3573,1249.116139
901.0,2506,1252.848407
1601.0,3968,1257.988023
1336.0,2381,1262.391124
1310.0,2868,1276.278638
836.0,2071,1278.778657
1777.0,3693,1283.270711
952.0,2722,1286.644466
961.0,2129,1289.24242
887.0,1963,1291.586807
409.0,2038,1294.389379
1717.0,3308,1317.828717
4586.0,10391,1329.982336
1333.0,2362,1332.671742
1459.0,4457,1349.08974
1394.0,3515,1353.138225
3263.0,8659,1363.334568
1272.0,2698,1366.556561
465.0,1897,1368.838027
1503.0,3002,1386.184964
508.0,1605,1388.169183
515.0,1397,1389.917722
1894.0,3346,1394.409647
1679.0,4791,1400.499182
2592.0,4987,1419.701768
1358.0,2489,1422.825763
1045.0,2315,1425.599914
851.0,2296,1428.425581
1310.0,3302,1432.971976
942.0,2444,1435.867997
2273.0,3152,1439.827539
470.0,1574,1441.959476
1684.0,4704,1468.95305
1815.0,5081,1475.025822
2039.0,3305,1479.033466
940.0,2816,1482.449107
1281.0,2874,1485.97909
2007.0,7108,1504.997146
1289.0,2478,1507.904563
2338.0,5943,1515.031244
603.0,1204,1531.769874
603.0,1204,1532.92742
603.0,1204,1534.058625
603.0,1204,1535.128581
603.0,1204,1536.175948
603.0,1204,1537.206512
603.0,1204,1538.231245
603.0,1204,1539.95103
603.0,1204,1542.348553
603.0,1204,1543.661831
603.0,1204,1544.846033
603.0,1204,1546.067343
603.0,1204,1547.262084
603.0,1204,1548.626101
603.0,1204,1550.17665
603.0,1204,1551.359087
603.0,1204,1552.513478
603.0,1204,1553.749673
603.0,1204,1554.895601
603.0,1204,1555.990431
