#{"t_start": 1682460108.979716, "env_id": null}
r,l,t
2082.0,25294,31.660527
753.0,11925,990.575887
1646.0,25310,1022.737487
1596.0,18158,2012.083452
895.0,10229,2979.103696
1539.0,17978,3000.199661
923.0,11060,3013.080526
1402.0,17648,4949.361832
1335.0,17826,4971.264867
1058.0,11292,4984.700295
2349.0,23659,5962.243367
898.0,8009,5971.919385
807.0,13236,6903.583007
946.0,7344,6912.498851
1868.0,17779,6933.966765
1443.0,17641,8098.483533
1432.0,17060,8118.815505
2464.0,25737,8266.562877
1659.0,18401,9646.243313
1713.0,14248,9663.30947
1569.0,7754,9672.334106
1342.0,13489,9688.791129
1576.0,15877,9713.892579
2168.0,18712,10751.580213
1343.0,17801,10773.256546
1315.0,8960,11694.96476
1619.0,17719,11715.784463
1313.0,13581,12724.412517
1386.0,10084,12736.159084
1077.0,10279,13682.42204
937.0,8523,13692.697337
2338.0,16882,13713.497582
846.0,11387,13983.704782
1503.0,11302,15014.658079
1467.0,11363,15028.220625
2469.0,23006,15337.814956
1912.0,10941,15353.05348
2329.0,11926,15414.295076
1714.0,14975,15431.340711
1991.0,14246,15448.27233
1581.0,12313,15462.712551
952.0,10492,15474.902424
2057.0,15270,15549.051304
2005.0,13665,15567.855923
