#{"t_start": 1682428556.7650108, "env_id": null}
r,l,t
805.0,10853,13.774656
1031.0,18082,36.378125
1556.0,17715,92.997565
1506.0,18608,117.343669
2421.0,24319,147.74564
1593.0,17453,203.250756
2134.0,24877,234.152838
1522.0,17665,290.900057
1059.0,9943,303.136686
1427.0,14944,321.680286
1386.0,9338,333.506891
997.0,10030,378.891043
1800.0,17886,401.091239
920.0,10870,414.623849
2094.0,19117,472.362877
1411.0,19102,496.231323
815.0,11017,510.051294
1178.0,9787,557.539321
957.0,9828,569.842647
386.0,4812,575.783206
1539.0,10180,588.488411
1616.0,17411,610.304371
2112.0,25301,676.187319
2292.0,24220,740.870859
2237.0,21250,767.527688
2550.0,21434,794.646688
877.0,9751,841.466305
1231.0,9075,852.944059
380.0,2474,856.029843
2147.0,15230,875.194533
2060.0,19456,1889.491722
864.0,10374,1902.643087
1994.0,10328,2862.591338
941.0,9972,2875.048995
2002.0,16603,2930.258429
992.0,12349,2945.413443
928.0,7177,2954.276145
939.0,4963,2960.357597
1769.0,17863,3017.822056
2377.0,23088,3046.087751
1562.0,17408,4149.638463
1520.0,12059,4164.406922
1625.0,11313,4179.103774
1890.0,15890,4198.860897
447.0,2591,4202.049247
1414.0,9609,4248.21167
1262.0,7842,4257.831004
1063.0,9620,4269.629312
2455.0,18575,4292.650082
2168.0,12907,5413.924662
1622.0,15881,5433.576231
1793.0,19692,5457.923516
1662.0,17729,5511.862387
2369.0,14267,5529.347746
936.0,6130,5536.885159
440.0,2312,5539.709057
1014.0,9052,6562.663177
1744.0,9250,6574.096223
891.0,9716,6586.210802
2409.0,16196,6955.403407
603.0,1204,8002.676077
603.0,1204,8003.740868
603.0,1204,8004.80262
603.0,1204,8005.865557
603.0,1204,8006.920947
603.0,1204,8007.976047
603.0,1204,8009.029921
603.0,1204,8010.091772
603.0,1204,8011.152158
603.0,1204,8012.207973
603.0,1204,8013.339735
603.0,1204,8014.457191
603.0,1204,8015.526457
603.0,1204,8016.752839
603.0,1204,8017.813665
603.0,1204,8018.888632
603.0,1204,8019.955929
603.0,1204,8021.01801
603.0,1204,8022.085841
603.0,1204,8023.148423
